date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:57	34/34	---MCZ	200	added ('OK')	text/plain	etag:6978a616c585d03cb5b542a891995efb	https://pokerladder.uk/robots.txt		(from )
20:08:57	59852/59852	---MCZ	200	added ('OK')	text/html	etag:eaf1cfe97440d89977ec4b33a80c3ced	https://pokerladder.uk/	C:/My%20Web%20Sites/pokerladdertest/pokerladder.uk/index.html	(from )
20:08:58	443/443	---MCZ	200	added ('OK')	application/manifest+json	etag:f252b2152b37f0b1c19d57dc4236db0a	https://pokerladder.uk/manifest.webmanifest	C:/My%20Web%20Sites/pokerladdertest/pokerladder.uk/manifest.webmanifest	(from https://pokerladder.uk/)
20:08:58	4138/4138	---M-Z	200	added ('OK')	application/javascript	etag:%222b81204e304834e84d46dfa43d0edcfc%22	http://img1.wsimg.com/blobby/go/gpub/79fb68164481d54f/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/gpub/79fb68164481d54f/script.js	(from https://pokerladder.uk/)
20:08:59	6826/6826	---M-Z	200	added ('OK')	application/javascript	etag:%22565167424bed8f6ca2349d9a606425a7%22	http://img1.wsimg.com/blobby/go/gpub/8828666089615103/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/gpub/8828666089615103/script.js	(from https://pokerladder.uk/)
20:08:59	6058/6058	---M-Z	200	added ('OK')	application/javascript	etag:%2228594ebc32b2951f8388c08d7386712d%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/1a345f78ae3b64b/script.js	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/1a345f78ae3b64b/script.js	(from https://pokerladder.uk/)
20:09:00	30470/30470	---M--	200	added ('OK')	image/jpeg	etag:3445197059	http://img1.wsimg.com/isteam/ip/79791148-6c18-45bf-b9ce-f15cb6b4310f/depositphotos_14542687-stock-photo-pair-of-ace.jpg	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/isteam/ip/79791148-6c18-45bf-b9ce-f15cb6b4310f/depositphotos_14542687-stock-photo-pair-of-ace.jpg	(from https://pokerladder.uk/)
20:09:00	165616/165616	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2024%20Jun%202020%2019:32:18%20GMT	https://img1.wsimg.com/poly/v2/polyfill.min.js?unknown=polyfill&flags=gated&features=default%2Cfetch%2CArray.prototype.%40%40iterator%2CArray.prototype.find%2CArray.prototype.findIndex%2CFunction.name%2CNumber.isFinite%2CPromise%2CString.prototype.repeat%2CMath.sign%2CMath.trunc%2CArray.prototype.includes%2CObject.entries%2CObject.values%2CObject.is%2CIntersectionObserver%2CIntl.~locale.en-GB	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/poly/v2/polyfill.min23c0.js	(from https://pokerladder.uk/)
20:09:01	5891/5891	---M-Z	200	added ('OK')	text/css	etag:%22571b8e1d81418dbad0aae621e6639c19%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/4524c1974583bbdd/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/4524c1974583bbdd/styles.css	(from https://pokerladder.uk/)
20:09:01	10032/10032	---M-Z	200	added ('OK')	text/css	etag:%222494ba6edd7d6efd2d3adb1c8fe723e1%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/bb0ceed970ad9782/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/bb0ceed970ad9782/styles.css	(from https://pokerladder.uk/)
20:09:01	10995/10995	---MCZ	200	added ('OK')	application/javascript	etag:2204f875da40e16b856ca5b0f0e23618	https://pokerladder.uk/sw.js	C:/My%20Web%20Sites/pokerladdertest/pokerladder.uk/sw.js	(from https://pokerladder.uk/)
20:09:02	1278/1278	---M-Z	200	added ('OK')	text/css	etag:%22157d6dec4e9ef32ebd7887e19c389dd9%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/5af8685f221cefdf/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/5af8685f221cefdf/styles.css	(from https://pokerladder.uk/)
20:09:02	1605/1605	---M-Z	200	added ('OK')	text/css	etag:%22acd6fdfe1f95018ee71ca853e5f8aa5c%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/a686a28498779792/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/a686a28498779792/styles.css	(from https://pokerladder.uk/)
20:09:02	2070/2070	---M-Z	200	added ('OK')	text/css	etag:%222ab662112f2f910e73816f9f14de0913%22	http://img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/6cfd2ee91abfb071/styles.css	C:/My%20Web%20Sites/pokerladdertest/img1.wsimg.com/blobby/go/79791148-6c18-45bf-b9ce-f15cb6b4310f/gpub/6cfd2ee91abfb071/styles.css	(from https://pokerladder.uk/)
20:09:02	43938/43938	---MCZ	200	added ('OK')	text/html	etag:b9a640a64f7f30262f969f7a2ff458df	https://pokerladder.uk/downloads	C:/My%20Web%20Sites/pokerladdertest/pokerladder.uk/downloads.html	(from https://pokerladder.uk/)
20:09:02	43898/43898	---MCZ	200	added ('OK')	text/html	etag:d9cf13cd9d4316aeff6dbc2796e79971	https://pokerladder.uk/rankings	C:/My%20Web%20Sites/pokerladdertest/pokerladder.uk/rankings.html	(from https://pokerladder.uk/)
20:09:03	47865/47865	---MCZ	200	added ('OK')	text/html	etag:76bb361ef5752e15655f333385657fa3	https://pokerladder.uk/contact-us	C:/My%20Web%20Sites/pokerladdertest/pokerladder.uk/contact-us.html	(from https://pokerladder.uk/)
20:09:03	11273/11273	---M--	200	added ('OK')	image/png	date:Fri,%2008%20May%202020%2001:21:51%20GMT	https://www.paypalobjects.com/webstatic/icon/pp258.png	C:/My%20Web%20Sites/pokerladdertest/www.paypalobjects.com/webstatic/icon/pp258.png	(from https://pokerladder.uk/)
20:09:03	14575/14575	---M--	200	added ('OK')	image/png	date:Fri,%2008%20May%202020%2001:20:36%20GMT	https://www.paypalobjects.com/webstatic/en_US/i/buttons/cc-badges-ppmcvdam.png	C:/My%20Web%20Sites/pokerladdertest/www.paypalobjects.com/webstatic/en_US/i/buttons/cc-badges-ppmcvdam.png	(from https://pokerladder.uk/)
20:09:03	42166/42166	---MCZ	200	added ('OK')	text/html	etag:ca53738eee5dca7dafa854b24c6a0f25	https://pokerladder.uk/privacy-policy	C:/My%20Web%20Sites/pokerladdertest/pokerladder.uk/privacy-policy.html	(from https://pokerladder.uk/)
